content_translator_brid.content_id,content_translator_brid.translator_id,content_translator_brid.content_type_key
11307,220,1
11365,225,1
11373,61,1
11376,226,1
11468,228,1
11472,62,1
11477,231,1
11496,240,1
11578,247,1
11586,253,1
11596,255,1
11613,259,1
11622,267,1
11634,277,1
11694,274,1
2409,16,1
2541,19,1
1815,296,1
3134,22,1
1803,302,1
8376,305,1
1593,318,1
4356,28,1
2122,77,1
7101,82,1
4217,26,1
4574,343,1
1931,304,1
2414,290,1
2536,292,1
3134,299,1
11908,281,1
11987,286,1
12007,290,1
12014,296,1
12059,302,1
12208,311,1
12215,313,1
4224,377,1
4226,382,1
4033,389,1
10196,403,1
3870,413,1
4408,422,1
9938,431,1
7155,436,1
4672,319,1
12257,319,1
12263,320,1
10787,93,1
10836,57,1
10817,54,1
2439,9,1
4577,9,1
10928,9,1
10937,9,1
10960,9,1
995,97,1
10216,37,1
365,3,1
10070,3,1
10072,36,1
10150,115,1
10693,49,1
11679,51,1
2109,71,1
603,5,1
10222,5,1
1512,99,1
10200,40,1
966,7,1
10304,44,1
11499,43,1
1048,72,1
996,71,1
11471,98,1
11581,1,1
11587,1,1
2540,17,1
2536,20,1
2430,102,1
4425,80,1
1891,8,1
4212,24,1
4217,27,1
10961,111,1
9782,83,1
10633,66,1
11507,66,1
10830,56,1
10846,94,1
10789,108,1
11272,54,1
1906,9,1
4289,9,1
10934,9,1
10942,9,1
10954,9,1
10945,110,1
11395,97,1
10692,116,1
10076,37,1
364,3,1
427,3,1
11356,96,1
10689,91,1
11677,51,1
602,5,1
10220,5,1
1511,99,1
10212,44,1
11498,43,1
10092,87,1
10228,89,1
11365,60,1
11468,98,1
11477,63,1
11496,65,1
11586,69,1
2548,20,1
2088,11,1
4404,105,1
10557,46,1
4356,30,1
10174,39,1
2142,13,1
4555,32,1
9848,84,1
10639,66,1
10842,93,1
10843,57,1
10792,94,1
10820,54,1
1771,9,1
4021,9,1
10931,9,1
10940,9,1
10966,9,1
10990,9,1
10951,97,1
11391,97,1
10678,90,1
360,3,1
425,3,1
11262,96,1
10685,91,1
10698,51,1
4287,78,1
636,70,1
2143,5,1
10210,44,1
10270,43,1
10090,87,1
1050,72,1
1001,71,1
11493,65,1
11583,68,1
1633,75,1
4613,81,1
3856,23,1
6951,113,1
4261,106,1
2146,14,1
10949,111,1
12095,447,1
15998,600,1
15563,579,1
15675,584,1
15942,593,1
2454,100,1
2433,101,1
3131,21,1
1931,76,1
2048,306,1
6681,33,1
10086,86,1
4214,25,1
4533,31,1
4335,347,1
2409,290,1
2454,295,1
2548,292,1
4613,307,1
11927,283,1
11992,287,1
12013,295,1
12055,299,1
12113,307,1
12212,311,1
6003,374,1
3870,382,1
4533,386,1
2250,400,1
4615,412,1
4410,419,1
7116,428,1
10978,434,1
12227,316,1
12256,319,1
12262,319,1
9788,4,1
10422,12,1
10618,12,1
10637,12,1
10699,15,1
1816,18,1
10781,19,1
10731,21,1
10723,22,1
10787,26,1
10836,29,1
949,33,1
10833,34,1
6762,34,1
10643,38,1
10847,34,1
10775,53,1
10817,45,1
12191,45,1
388,47,1
412,2,1
413,47,1
417,2,1
420,47,1
423,2,1
424,47,1
432,2,1
446,47,1
501,2,1
502,47,1
548,47,1
557,47,1
564,2,1
4587,2,1
4650,47,1
5923,47,1
6381,47,1
7317,47,1
7434,2,1
8697,47,1
10300,2,1
10370,47,1
10458,47,1
10476,47,1
10617,2,1
10620,47,1
10677,2,1
10709,47,1
10916,47,1
10987,47,1
11129,47,1
11236,47,1
1906,48,1
4289,48,1
10922,48,1
10934,48,1
10942,48,1
10954,48,1
10999,48,1
11050,48,1
11060,48,1
11084,48,1
11107,48,1
10853,50,1
10903,95,1
10973,52,1
10945,109,1
10781,117,1
995,58,1
10967,59,1
11295,61,1
10925,58,1
11012,58,1
11069,73,1
717,79,1
879,79,1
1527,50,1
1530,79,1
10696,50,1
11593,79,1
11605,50,1
11688,50,1
11691,79,1
11090,85,1
11098,92,1
10084,38,1
10076,101,1
364,103,1
427,103,1
11110,104,1
11113,109,1
5696,79,1
11680,112,1
11707,112,1
11356,124,1
695,129,1
10611,48,1
10630,129,1
11362,48,1
10689,135,1
11677,141,1
10306,45,1
10702,144,1
602,159,1
10220,159,1
594,4,1
596,162,1
883,4,1
10296,162,1
11248,4,1
11368,162,1
610,164,1
1511,164,1
614,167,1
712,170,1
10266,42,1
10284,174,1
8643,35,1
8646,177,1
10202,35,1
12232,177,1
10056,41,1
10238,182,1
10276,41,1
10212,188,1
11498,191,1
10092,192,1
10228,201,1
10060,85,1
10062,203,1
10638,85,1
10206,204,1
1509,208,1
11353,74,1
11448,208,1
11454,74,1
1506,211,1
2109,213,1
11926,283,1
11989,286,1
12010,293,1
12052,299,1
12077,304,1
12209,311,1
2410,371,1
4226,380,1
3343,383,1
4284,392,1
3822,406,1
4410,416,1
10152,427,1
9950,433,1
9978,439,1
12254,319,1
12259,319,1
12265,323,1
9848,6,1
10609,47,1
10613,12,1
10639,12,1
10717,16,1
10720,19,1
10721,21,1
11993,21,1
10733,26,1
10842,26,1
10839,92,1
10843,29,1
10828,55,1
10792,35,1
10643,34,1
10794,38,1
10775,41,1
10820,45,1
388,2,1
411,47,1
413,2,1
414,47,1
420,2,1
422,47,1
424,2,1
431,47,1
446,2,1
466,47,1
502,2,1
546,47,1
557,2,1
562,47,1
738,47,1
4640,47,1
5757,47,1
6204,47,1
7311,47,1
7431,47,1
7989,47,1
10014,47,1
10366,47,1
10456,47,1
10474,47,1
10614,2,1
10620,2,1
10670,47,1
10709,2,1
10849,47,1
10957,47,1
11047,47,1
11233,47,1
11525,47,1
2439,48,1
4577,48,1
10928,48,1
10937,48,1
10960,48,1
10969,48,1
10994,48,1
11005,48,1
11059,48,1
11071,48,1
11105,48,1
11703,48,1
10903,50,1
10909,95,1
10945,53,1
10951,58,1
11391,58,1
11074,59,1
11287,62,1
10976,64,1
11077,67,1
10678,76,1
879,50,1
1525,79,1
1530,50,1
1531,79,1
11593,50,1
11601,79,1
11610,79,1
11691,50,1
9950,85,1
11095,88,1
11102,95,1
10216,101,1
365,103,1
10070,103,1
10072,107,1
2115,112,1
11680,79,1
11682,112,1
10150,119,1
692,129,1
705,129,1
10630,48,1
10640,129,1
11589,129,1
10693,138,1
10637,66,1
11679,141,1
10702,45,1
2109,146,1
10448,146,1
603,159,1
10222,159,1
596,4,1
882,162,1
10296,4,1
10298,162,1
11368,4,1
11475,162,1
1512,164,1
700,170,1
731,171,1
10284,107,1
10200,176,1
8646,35,1
8649,177,1
12230,177,1
966,180,1
10238,41,1
10274,182,1
10230,185,1
10304,188,1
11499,191,1
10058,203,1
10062,85,1
10064,203,1
10206,88,1
1048,205,1
1509,74,1
1533,208,1
11448,74,1
11451,208,1
1506,73,1
996,213,1
11293,220,1
11371,226,1
11376,61,1
11471,228,1
11480,237,1
11508,243,1
11581,247,1
11587,247,1
11607,264,1
11620,268,1
11631,277,1
11686,280,1
2540,18,1
2454,16,1
9782,2,1
1,6,2
10609,10,1
10428,12,1
10633,12,1
11507,12,1
10699,52,1
10719,18,1
10735,21,1
10726,25,1
10839,28,1
10830,31,1
10828,34,1
10833,55,1
10846,35,1
6762,38,1
10794,34,1
10847,38,1
10789,42,1
11272,45,1
238,47,1
411,2,1
412,47,1
414,2,1
417,47,1
422,2,1
423,47,1
431,2,1
432,47,1
466,2,1
501,47,1
546,2,1
550,47,1
562,2,1
564,47,1
4587,47,1
5754,47,1
6204,2,1
7296,47,1
7431,2,1
7434,47,1
9948,47,1
10300,47,1
10450,47,1
10470,47,1
10478,47,1
10617,47,1
10670,2,1
10677,47,1
10849,2,1
10918,47,1
10988,47,1
11232,47,1
11239,47,1
1771,48,1
4021,48,1
10931,48,1
10940,48,1
10948,48,1
10966,48,1
10990,48,1
11003,48,1
11051,48,1
11066,48,1
11087,48,1
11701,48,1
10853,95,1
10909,50,1
10981,52,1
10945,55,1
10972,58,1
11395,58,1
11030,59,1
11006,62,1
10925,64,1
11012,64,1
11080,74,1
10692,77,1
721,79,1
1525,50,1
1527,79,1
1531,50,1
10696,79,1
11601,50,1
11605,79,1
11688,79,1
11083,82,1
11093,86,1
11101,95,1
10084,100,1
360,103,1
425,103,1
2115,79,1
5696,112,1
11682,79,1
11262,124,1
10711,126,1
705,48,1
10611,129,1
10640,48,1
11362,129,1
10685,135,1
10698,141,1
10306,144,1
4287,146,1
636,158,1
2143,159,1
594,162,1
882,4,1
883,162,1
10298,4,1
11248,162,1
11475,4,1
612,164,1
698,170,1
730,171,1
10266,173,1
8643,177,1
8649,35,1
10202,177,1
10056,182,1
10274,41,1
10276,182,1
10210,188,1
10270,191,1
10090,192,1
10356,198,1
10058,85,1
10060,203,1
10064,85,1
10638,203,1
1050,205,1
1533,74,1
11353,208,1
11451,74,1
11454,208,1
1001,213,1
2,6,3
11281,216,1
9788,114,1
11301,223,1
11371,61,1
11373,226,1
2057,255,1
11472,234,1
11480,64,1
11493,240,1
11508,67,1
11583,250,1
11602,256,1
11616,262,1
11628,274,1
11685,280,1
2414,16,1
2536,294,1
3320,103,1
2277,15,1
2048,6,1
1818,308,1
2088,10,1
4404,104,1
4672,112,1
4356,29,1
2142,12,1
4582,344,1
2088,313,1
2454,290,1
2541,293,1
3856,310,1
238,47,1
360,103,1
364,103,1
365,103,1
388,47,1
411,47,1
412,47,1
413,47,1
414,47,1
417,47,1
420,47,1
422,47,1
423,47,1
424,47,1
425,103,1
427,103,1
431,47,1
432,47,1
446,47,1
466,47,1
501,47,1
502,47,1
546,47,1
548,47,1
550,47,1
557,47,1
562,47,1
564,47,1
594,162,1
596,162,1
602,159,1
603,159,1
610,164,1
612,164,1
614,167,1
636,158,1
692,129,1
695,129,1
698,170,1
700,170,1
705,129,1
712,170,1
717,79,1
721,79,1
730,171,1
731,171,1
738,47,1
879,79,1
882,162,1
883,162,1
941,33,1
949,33,1
966,180,1
984,33,1
995,58,1
996,213,1
1001,213,1
1048,205,1
1050,205,1
1506,211,1
1509,208,1
1511,164,1
1512,164,1
1525,79,1
1527,79,1
1530,79,1
1531,79,1
1533,208,1
1771,48,1
1803,302,1
1815,296,1
1816,18,1
1906,48,1
1931,304,1
2057,255,1
2088,313,1
2109,146,1
2109,213,1
2115,112,1
2143,159,1
2250,400,1
2409,290,1
2410,371,1
2414,290,1
2439,48,1
2454,290,1
2454,295,1
2536,292,1
2541,293,1
2548,292,1
3134,299,1
3343,383,1
3822,406,1
3856,310,1
3870,382,1
3870,413,1
4021,48,1
4033,389,1
4224,377,1
4226,380,1
4226,382,1
4284,392,1
4287,146,1
4289,48,1
4408,422,1
4410,416,1
4410,419,1
4533,386,1
4577,48,1
4587,47,1
4613,307,1
4615,412,1
4640,47,1
4650,47,1
4672,319,1
5696,112,1
5754,47,1
5757,47,1
5923,47,1
6003,374,1
6204,47,1
6381,47,1
6762,38,1
7116,428,1
7155,436,1
7296,47,1
7311,47,1
7317,47,1
7431,47,1
7434,47,1
7989,47,1
8643,177,1
8646,177,1
8649,177,1
8697,47,1
9782,2,1
9788,4,1
9848,6,1
9938,431,1
9948,47,1
9950,85,1
9950,433,1
9978,439,1
10014,47,1
10056,182,1
10058,203,1
10060,203,1
10062,203,1
10064,203,1
10070,103,1
10072,107,1
10076,101,1
10084,100,1
10090,192,1
10092,192,1
10150,119,1
10152,427,1
10196,403,1
10200,176,1
10202,177,1
10206,204,1
10210,188,1
10212,188,1
10216,101,1
10220,159,1
10222,159,1
10228,201,1
10230,185,1
10238,182,1
10266,173,1
10270,191,1
10274,182,1
10276,182,1
10284,174,1
10296,162,1
10298,162,1
10300,47,1
10304,188,1
10306,144,1
10356,198,1
10370,47,1
10422,12,1
10428,12,1
10448,146,1
10450,47,1
10456,47,1
10458,47,1
10470,47,1
10474,47,1
10476,47,1
10478,47,1
10609,10,1
10611,129,1
10613,12,1
10617,47,1
10618,12,1
10620,47,1
10630,129,1
10633,12,1
10637,12,1
10638,203,1
10639,12,1
10640,129,1
10643,38,1
10670,47,1
10677,47,1
10678,76,1
10685,135,1
10689,135,1
10692,77,1
10693,138,1
10696,79,1
10698,141,1
10699,15,1
10702,144,1
10709,47,1
10711,126,1
10717,16,1
10719,18,1
10720,19,1
10721,21,1
10723,22,1
10726,25,1
10731,21,1
10733,26,1
10735,21,1
10775,41,1
10781,19,1
10787,26,1
10789,42,1
10792,35,1
10794,38,1
10817,45,1
10820,45,1
10828,34,1
10830,31,1
10833,34,1
10836,29,1
10839,28,1
10842,26,1
10843,29,1
10846,35,1
10847,38,1
10849,47,1
10853,50,1
10903,50,1
10909,50,1
10916,47,1
10918,47,1
10922,48,1
10925,64,1
10928,48,1
10931,48,1
10934,48,1
10937,48,1
10940,48,1
10942,48,1
10945,53,1
10945,55,1
10948,48,1
10951,58,1
10954,48,1
10957,47,1
10960,48,1
10966,48,1
10967,59,1
10969,48,1
10972,58,1
10973,52,1
10978,434,1
10981,52,1
10987,47,1
10988,47,1
10990,48,1
10994,48,1
10999,48,1
11003,48,1
11005,48,1
11006,62,1
11012,64,1
11030,59,1
11047,47,1
11050,48,1
11051,48,1
11059,48,1
11060,48,1
11066,48,1
11069,73,1
11071,48,1
11074,59,1
11077,67,1
11080,74,1
11083,82,1
11084,48,1
11087,48,1
11090,85,1
11093,86,1
11095,88,1
11098,92,1
11101,95,1
11102,95,1
11105,48,1
11107,48,1
11110,104,1
11113,109,1
11129,47,1
11199,109,1
11214,440,1
11214,443,1
11232,47,1
11233,47,1
11236,47,1
11239,47,1
11248,162,1
11262,124,1
11272,45,1
11281,216,1
11287,62,1
11293,220,1
11295,61,1
11301,223,1
11307,220,1
11353,208,1
11356,124,1
11362,129,1
11365,225,1
11368,162,1
11371,226,1
11373,226,1
11376,226,1
11391,58,1
11395,58,1
11448,208,1
11451,208,1
11454,208,1
11468,228,1
11471,228,1
11472,234,1
11475,162,1
11477,231,1
11480,237,1
11493,240,1
11496,240,1
11498,191,1
11499,191,1
11507,12,1
11508,243,1
11525,47,1
11578,247,1
11581,247,1
11583,250,1
11586,253,1
11587,247,1
11589,129,1
11593,79,1
11596,255,1
11601,79,1
11602,256,1
11605,79,1
11607,264,1
11610,79,1
11613,259,1
11616,262,1
11620,268,1
11622,267,1
11628,274,1
11631,277,1
11634,277,1
11677,141,1
11679,141,1
11680,112,1
11682,112,1
11685,280,1
11686,280,1
11688,79,1
11691,79,1
11694,274,1
11701,48,1
11703,48,1
11707,112,1
11908,281,1
11926,283,1
11927,283,1
11987,286,1
11989,286,1
11992,287,1
11993,21,1
12007,290,1
12010,293,1
12013,295,1
12014,296,1
12029,446,1
12052,299,1
12055,299,1
12059,302,1
12077,304,1
12092,48,1
12095,447,1
12113,307,1
12191,45,1
12208,311,1
12209,311,1
12212,311,1
12215,313,1
12227,316,1
12230,177,1
12232,177,1
12254,319,1
12256,319,1
12257,319,1
12259,319,1
12262,319,1
12263,320,1
12265,323,1
12594,453,1
12596,456,1
12599,458,1
12605,461,1
12615,464,1
12617,464,1
12620,450,1
12623,465,1
12629,16,1
12635,471,1
12638,471,1
12639,474,1
12644,476,1
12648,480,1
12650,433,1
12686,485,1
12695,486,1
12698,489,1
12702,492,1
12710,495,1
12710,498,1
12713,500,1
12962,501,1
12962,504,1
13305,512,1
13308,515,1
13310,518,1
13313,519,1
13316,515,1
13317,522,1
13376,524,1
13377,21,1
13397,21,1
13473,101,1
13524,525,1
13550,531,1
13563,311,1
13566,311,1
13577,34,1
13583,67,1
13583,533,1
13589,536,1
13592,528,1
13599,542,1
13602,539,1
13611,545,1
13643,527,1
13659,220,1
13782,103,1
13791,203,1
13796,101,1
13928,546,1
13950,474,1
13955,549,1
13958,551,1
13997,12,1
14105,101,1
14108,564,1
14109,564,1
14141,566,1
14142,566,1
14393,567,1
14396,569,1
15027,572,1
15029,572,1
15030,572,1
15032,572,1
15035,572,1
15036,572,1
15065,572,1
15068,572,1
15071,572,1
15072,572,1
15075,572,1
15077,572,1
15080,572,1
15087,572,1
15092,572,1
15095,572,1
15098,572,1
15099,572,1
15101,572,1
15149,146,1
15429,572,1
15558,575,1
15558,578,1
15563,579,1
15567,573,1
15618,159,1
15620,159,1
15638,159,1
15641,159,1
15648,159,1
15650,159,1
15666,581,1
15675,584,1
15843,19,1
15930,590,1
15942,593,1
15996,597,1
15998,600,1
16244,406,1
16257,504,1
16259,504,1
16265,602,1
16427,567,1
16706,572,1
16851,572,1
20806,4,1
21864,104,1
25528,715,1
25540,704,1
25585,715,1
25603,704,1
25645,715,1
25710,715,1
25734,704,1
25752,715,1
25797,704,1
25798,715,1
25804,704,1
25807,699,1
25849,715,1
25864,704,1
25866,699,1
25921,704,1
25924,699,1
25935,715,1
25963,715,1
25971,704,1
25978,699,1
26046,704,1
26137,715,1
26347,745,1
26479,715,1
32155,8,1
34382,6,1
36479,764,1
12,47,3
14,47,3
224,239,3
225,239,3
228,239,3
231,239,3
233,239,3
234,239,3
236,239,3
239,239,3
299,124,3
300,124,3
303,124,3
306,124,3
312,124,3
315,124,3
318,124,3
320,124,3
